pathogen_name,effector_name,type,host_target,mechanism
Shigella flexneri,IpaC,T3SS (translocon),Actin,Induces actin polymerization
Shigella flexneri,IcsA/VirG,Autotransporter,N-WASP / Arp2/3,Recruits N-WASP and Arp2/3
Shigella flexneri,IcsB,T3SS,LC3,Masks IcsA from autophagy receptor
Shigella flexneri,VirA,T3SS,Rab1,Rab1 GAP activity
Shigella flexneri,OspG,T3SS,Ubiquitin pathway,Kinase that inhibits NF-kB
Brucella abortus,VirB,T4SS (VirB),ER membranes,Type IV secretion system structural component
Brucella abortus,BtpA,T4SS effector,TLR2,TIR-domain containing; inhibits TLR2 signaling
Brucella abortus,BtpB,T4SS effector,TIRAP/Mal,TIR-domain containing adaptor mimic
Brucella abortus,VceA,T4SS effector,Secretory pathway,Modulates host vesicular trafficking
Brucella abortus,VceC,T4SS effector,ER stress response,Activates unfolded protein response
Francisella tularensis,IglC,T6SS,Phagosomal membrane,Essential for phagosomal escape
Francisella tularensis,IglD,T6SS,Phagosomal membrane,Component of T6SS apparatus
Francisella tularensis,IglE,T6SS,Vacuole,Contributes to phagosomal disruption
Francisella tularensis,MglA,Regulator,Transcription,Global virulence regulator
Francisella tularensis,FevR,Regulator,PP2C,Interacts with phosphatase; regulates gene expression
Coxiella burnetii,Cig57,T4SS (Dot/Icm),Clathrin,Subverts clathrin-mediated trafficking
Coxiella burnetii,Cig2,T4SS (Dot/Icm),Rab proteins,Interacts with host Rab GTPases
Coxiella burnetii,CvpB,T4SS (Dot/Icm),PI3P / Rab5,Binds PI3P and Rab5 for CCV biogenesis
Coxiella burnetii,CirA,T4SS (Dot/Icm),Exocyst complex,Modulates host vesicle tethering
Coxiella burnetii,CirB,T4SS (Dot/Icm),HOPS complex,Intercepts tethering for CCV expansion
Yersinia pestis,YopE,T3SS (Ysc),Rho GTPases,"GAP for RhoA, Rac1, Cdc42"
Yersinia pestis,YopH,T3SS (Ysc),FAK / p130Cas,Potent PTPase; disrupts focal adhesions
Yersinia pestis,YopJ,T3SS (Ysc),MAPKK / IKK,Acetyltransferase; blocks NF-kB and MAPK
Yersinia pestis,YopM,T3SS (Ysc),PRP kinases,Leucine-rich repeat; binds thrombin
Yersinia pestis,YopT,T3SS (Ysc),Rho GTPases,Cysteine protease; cleaves prenylated Rho
Yersinia pestis,LcrV,T3SS needle tip,TLR2 / CD14,Modulates immune response
Yersinia pseudotuberculosis,YopE,T3SS (Ysa/Ysc),Rho GTPases,GAP activity
Yersinia pseudotuberculosis,YopH,T3SS (Ysa/Ysc),FAK / p130Cas,PTPase; host cell detachment
Yersinia pseudotuberculosis,YopJ,T3SS (Ysa/Ysc),MAPKK,Blocks inflammatory signaling
Yersinia pseudotuberculosis,YpkA/YopO,T3SS (Ysa/Ysc),Actin / RhoA,Ser/Thr kinase; actin binding
Chlamydia trachomatis,IncA,T3SS,SNARE proteins,Inclusion membrane protein; blocks fusion
Chlamydia trachomatis,IncB,T3SS,Rab4,Recruits Rab4 to inclusion membrane
Chlamydia trachomatis,IncC,T3SS,Rab6 / Rab11,Recruits Golgi-derived vesicles
Chlamydia trachomatis,CT229,T3SS,Rab GTPases,Ubiquitin ligase; Rab protein modification
Chlamydia trachomatis,CT813,T3SS,Host membranes,Inclusion protein; lipid acquisition
Chlamydia trachomatis,CADD,T3SS,Host apoptosis,Anti-apoptotic; blocks host cell death
Chlamydia pneumoniae,IncA,T3SS,SNAREs,Similar inclusion membrane function
Chlamydia pneumoniae,CPn0585,T3SS,Rab GTPases,Guanine nucleotide exchange factor
Chlamydia pneumoniae,CPn0809,T3SS,Host membranes,Sphingolipid acquisition
Anaplasma phagocytophilum,Ats-1,T4SS,Rab5 / PI3P,Binds Rab5; anchors to inclusion membrane
Anaplasma phagocytophilum,AnkA,T4SS,MYADM / Abl-1,Ankyrin repeat; modulates host signaling
Anaplasma phagocytophilum,p44/Msp2,Surface protein,P-selectin glycoprotein,Antigenic variation; immune evasion
Ehrlichia chaffeensis,TRP120,T4SS,Notch pathway,Mimics Notch ligand; activates Notch signaling
Ehrlichia chaffeensis,TRP32,T4SS,Wnt pathway,Activates Wnt signaling for host survival
Ehrlichia chaffeensis,Ank200,T4SS,Host transcription,Ankyrin repeat; modulates gene expression
Bartonella henselae,BepA,T4SS (VirB),Host cell actin,F-actin fiber formation; anti-apoptotic
Bartonella henselae,BepB,T4SS (VirB),Host membranes,Actin remodeling
Bartonella henselae,BepC,T4SS (VirB),PI3K / Akt,Promotes endothelial cell proliferation
Bartonella henselae,BepD,T4SS (VirB),Host membranes,F-actin recruitment
Bartonella henselae,BepE,T4SS (VirB),Host apoptosis,Anti-apoptotic
Rickettsia rickettsii,RickA,Surface protein,Arp2/3,Actin polymerization; actin tails
Rickettsia rickettsii,Sca2,Surface protein,Actin,Formin-like actin nucleator
Rickettsia rickettsii,Pat1,Patatin-like,Phospholipids,Phospholipase; phagosomal escape
Rickettsia rickettsii,TlyA,Hemolysin,Membrane,Pore-forming hemolysin
Rickettsia conorii,RickA,Surface protein,Arp2/3,Actin tail formation
Rickettsia conorii,Sca2,Surface protein,Actin,Actin-based motility
Rickettsia conorii,Pat1,Patatin-like,Phospholipids,Membrane disruption
Salmonella typhi,SopE,T3SS (SPI-1),Cdc42,GEF for Cdc42
Salmonella typhi,SifA,T3SS (SPI-2),SKIP,SCV maintenance
Salmonella typhi,PipB2,T3SS (SPI-2),Kinesin-1,Recruits kinesin to SCV
Salmonella typhi,SseF,T3SS (SPI-2),Microtubules,SCV positioning near Golgi
Salmonella typhi,SseG,T3SS (SPI-2),Microtubules,SCV-Golgi association
Pseudomonas aeruginosa,ExoU,T3SS,Phospholipids,Phospholipase A2; rapid cell lysis
Pseudomonas aeruginosa,ExoS,T3SS,Rho / Ras,GAP and ADP-ribosyltransferase
Pseudomonas aeruginosa,ExoT,T3SS,Cdc42 / Rac1,GAP and ADP-ribosyltransferase
Pseudomonas aeruginosa,ExoY,T3SS,cAMP/cGMP,Adenylate cyclase; disrupts actin
Pseudomonas aeruginosa,ToxA,Exotoxin,EF-2,ADP-ribosyltransferase; protein synthesis inhibition
Pseudomonas aeruginosa,Alginate,Exopolysaccharide,Biofilm,Mucoid biofilm formation
Escherichia coli K1,IbeA,Invasin,Vimentin,Invasion of brain microvascular endothelial cells
Escherichia coli K1,IbeB,Invasin,Host membranes,Invasion factor
Escherichia coli K1,OmpA,Outer membrane,GPI-anchored proteins,Invasion and intracellular survival
Escherichia coli K1,K1 capsule,Polysaccharide,Immune evasion,Antiphagocytic capsular polysaccharide
Escherichia coli K1,CNF1,Toxin,Rho GTPases,Deamidase; constitutive Rho activation
Neisseria gonorrhoeae,PorB,Porin,Mitochondria,Voltage-gated porin; inhibits apoptosis
Neisseria gonorrhoeae,Opa,Adhesin,CEACAM family,Carcinoembryonic antigen receptor binding
Neisseria gonorrhoeae,PilE,Type IV pilin,CD46,Twitching motility; adherence
Neisseria gonorrhoeae,Ng-MIP,Macrophage infectivity,Host membranes,Porin activity
Neisseria gonorrhoeae,TspB,Toxin,Host cells,Neisserial toxin
Neisseria meningitidis,PorA,Porin,Host membranes,Major outer membrane porin
Neisseria meningitidis,PorB,Porin,Mitochondria,Voltage-gated; anti-apoptotic
Neisseria meningitidis,Opca,Adhesin,CEACAM/fibronectin,Adhesion and invasion
Neisseria meningitidis,NadA,Adhesin,Host cells,Neisserial adhesin A
Neisseria meningitidis,FetA,Iron transporter,Host iron,Lactoferrin receptor
Haemophilus influenzae,Hap,Autotransporter,Extracellular matrix,Serine protease; adherence
Haemophilus influenzae,HMW1,Adhesin,Epithelial cells,High molecular weight adhesin
Haemophilus influenzae,HMW2,Adhesin,Epithelial cells,High molecular weight adhesin
Haemophilus influenzae,Hia,Adhesin,Host cells,Haemophilus IgA protease
Haemophilus influenzae,P5,OMP,ICAM-1,Adherence to activated epithelial cells
Bordetella pertussis,PTx,AB toxin,Gi/adenylate cyclase,Pertussis toxin; ADP-ribosyltransferase
Bordetella pertussis,CyaA,RTX toxin,CaM/adenylate cyclase,Adenylate cyclase toxin; phagocyte entry
Bordetella pertussis,FHA,Adhesin,CR3 / integrins,Filamentous hemagglutinin
Bordetella pertussis,TCF,Tracheal cytotoxin,Ciliated cells,Disrupts ciliated epithelium
Bordetella pertussis,DNT,Toxin,Rho GTPases,Dermonecrotic toxin; constrictive activity
Vibrio cholerae,CTX,AB toxin,Gs/adenylate cyclase,Cholera toxin; ADP-ribosyltransferase
Vibrio cholerae,TCP,Pilus,Host intestinal cells,Toxin-coregulated pilus; colonization
Vibrio cholerae,VSP,T6SS,Host cells,Type VI secretion; effector translocation
Vibrio cholerae,HlyA,Hemolysin,Membrane,Pore-forming cytolysin
Vibrio cholerae,VvpE,Protease,Mucin,Mucinase; biofilm dispersal
Campylobacter jejuni,Cdt,Cytolethal distending,Host DNA,DNase; cell cycle arrest
Campylobacter jejuni,FlaA,Flagellin,TLR5,Major flagellin; glycosylated
Campylobacter jejuni,CiaB,Flagellar secretion,Host cells,Campylobacter invasion antigen
Campylobacter jejuni,VirK,Virulence factor,Host membranes,Intracellular survival
Campylobacter jejuni,CfrA,Iron transporter,Host iron,Ferric enterobactin receptor
Helicobacter pylori,CagA,T4SS effector,SHP-2 / PAR1,Injected by T4SS; cell signaling disruption
Helicobacter pylori,VacA,Pore-forming toxin,Mitochondria / lysosomes,Vacuolating cytotoxin
Helicobacter pylori,UreA,Urease,Stomach acid,Neutralizes gastric pH
Helicobacter pylori,HtrA,Serine protease,E-cadherin,Cleaves E-cadherin; disrupts junctions
Helicobacter pylori,OipA,Outer membrane,IL-8 induction,Inflammatory activation
Orientia tsutsugamushi,ScaA,Autotransporter,Host cell adhesion,Surface cell antigen A
Orientia tsutsugamushi,ScaC,Autotransporter,Host cell adhesion,Surface cell antigen C
Orientia tsutsugamushi,HlyA,Hemolysin,Membrane,Putative hemolysin for escape
Orientia tsutsugamushi,Pld,Phospholipase D,Host membranes,Phagosomal escape
Orientia tsutsugamushi,Tsa56,Surface protein,Host immune evasion,Major outer membrane protein
Staphylococcus aureus,Hla,Pore-forming toxin,ADAM10,Alpha-hemolysin; heptameric pore
Staphylococcus aureus,Hlb,Sphingomyelinase,Sphingomyelin,Beta-hemolysin; SM hydrolysis
Staphylococcus aureus,PVL,Pore-forming toxin,C5aR / CD88,Panton-Valentine leukocidin
Staphylococcus aureus,SpA,Surface protein,IgG / VH3,Protein A; antibody binding
Staphylococcus aureus,Efb,Secreted protein,Fibrinogen,Immune evasion; clot formation
Streptococcus pyogenes,SLO,Cholesterol-dependent,Cholesterol,Streptolysin O; phagosomal escape
Streptococcus pyogenes,SLS,Pore-forming,Membrane,Streptolysin S; hemolytic
Streptococcus pyogenes,SpeB,Cysteine protease,Host proteins,Degrades extracellular matrix
Streptococcus pyogenes,M protein,Surface protein,Factor H / C4BP,Antiphagocytic; binds complement
Streptococcus pyogenes,SpeA,Superantigen,MHC II / TCR,Streptococcal pyrogenic exotoxin A
Streptococcus pneumoniae,PLY,Cholesterol-dependent,Cholesterol,Pneumolysin; pore-forming toxin
Streptococcus pneumoniae,PspA,Surface protein,Lactoferrin,Pneumococcal surface protein A
Streptococcus pneumoniae,PspC,Surface protein,Factor H,Complement evasion
Streptococcus pneumoniae,LytA,Amidase,Peptidoglycan,Autolysin; biofilm release
Streptococcus pneumoniae,NanA,Neuraminidase,Sialic acid,Cleaves host sialic acid
Bacillus anthracis,ALO,Cholesterol-dependent,Cholesterol,Anthrolysin O; phagosomal escape
Bacillus anthracis,LF,AB toxin,MAPKKs,Lethal factor; zinc metalloprotease
Bacillus anthracis,EF,AB toxin,CaM/adenylate cyclase,Edema factor; adenylyl cyclase
Bacillus anthracis,PA,AB toxin,ANTXR1/2,Protective antigen; mediates uptake of LF/EF
Bacillus anthracis,CatB,Catalase,ROS,Resistance to oxidative burst
Bacillus cereus,Hbl,Pore-forming,Membrane,Hemolysin BL; three-component toxin
Bacillus cereus,Nhe,Pore-forming,Membrane,Non-hemolytic enterotoxin
Bacillus cereus,CytK,Pore-forming,Membrane,Cytotoxin K; beta-barrel pore
Bacillus cereus,PC-PLC,Phospholipase,Membrane,Phosphatidylcholine-hydrolyzing
Clostridium perfringens,CTA,AB toxin (CPE),Claudins,C. perfringens enterotoxin; tight junction
Clostridium perfringens,PFO,Cholesterol-dependent,Cholesterol,Perfringolysin O; pore-forming
Clostridium perfringens,PLC,Phospholipase,Membrane,Alpha-toxin; hemolysis and necrosis
Clostridium perfringens,NetB,Pore-forming,Host cells,Necrotic enteritis toxin B
Clostridium difficile,TcdA,Large clostridial toxin,Rho GTPases,Enterotoxin; glucosyltransferase
Clostridium difficile,TcdB,Large clostridial toxin,Rho GTPases,Cytotoxin; glucosyltransferase
Clostridium difficile,Cdt,ADP-ribosyltransferase,Actin,Binary toxin; actin depolymerization
Clostridium difficile,FliC,Flagellin,TLR5,Flagellar protein; inflammatory
Enterococcus faecalis,Cyl,Pore-forming toxin,Membrane,Cytolysin; hemolytic/bactericidal
Enterococcus faecalis,Esp,Surface protein,Host cells,Enterococcal surface protein; biofilm
Enterococcus faecalis,GelE,Gelatinase,ECM proteins,Extracellular protease
Enterococcus faecalis,SprE,Serine protease,Host proteins,Immune evasion factor
Enterococcus faecalis,Ace,Adhesin,Collagen,Adherence to collagen
Corynebacterium diphtheriae,DT,AB toxin,EF-2,Diphtheria toxin; ADP-ribosyltransferase
Corynebacterium diphtheriae,Fbp,Iron transporter,Host iron,Iron acquisition
Corynebacterium diphtheriae,SpaA,Pilin,Host cells,Shaft pilin; adherence
Corynebacterium diphtheriae,SpaB,Pilin,Host cells,Minor pilin; adherence
Nocardia asteroides,Mce,Mammalian cell entry,Host membranes,Invasion and survival
Nocardia asteroides,PLA,Phospholipase,Host membranes,Phagosomal escape factor
Nocardia asteroides,Sod,Superoxide dismutase,ROS,Oxidative stress resistance
Nocardia asteroides,Cat,Catalase,H2O2,Hydrogen peroxide resistance
Rhodococcus equi,VapA,Surface protein,Host membranes,Virulence-associated protein; phagosome survival
Rhodococcus equi,VapB,Surface protein,Host membranes,Alternative Vap variant
Rhodococcus equi,VapC,Surface protein,Host membranes,Vap family member
Rhodococcus equi,VapD,Surface protein,Host membranes,Vap family member
Tropheryma whipplei,TW1,Surface protein,Host cells,Adhesion factor
Tropheryma whipplei,TW2,Surface protein,Macrophages,Intracellular survival
Tropheryma whipplei,TW3,Surface protein,Immune modulation,Modulates host immune response
Mycobacterium leprae,LAM,Glycolipid,Vps34,Similar to M. tuberculosis
Mycobacterium leprae,ML0098,Secreted protein,Host signaling,Modulates TLR signaling
Mycobacterium leprae,ML0840,Secreted protein,Host cells,Putative virulence factor
Mycobacterium leprae,ML2499,Surface protein,Schwann cells,Adhesion to Schwann cells
Mycobacterium bovis,LAM,Glycolipid,Vps34,Lipoarabinomannan
Mycobacterium bovis,ESAT-6,T7SS (ESX-1),Membrane,Early secretory antigenic target
Mycobacterium bovis,CFP-10,T7SS (ESX-1),Host cells,Culture filtrate protein 10
Mycobacterium bovis,MPB70,Secreted protein,Host immune,Major secreted antigen
Mycobacterium avium,LAM,Glycolipid,Vps34,Lipoarabinomannan; blocks signaling
Mycobacterium avium,MAV_2941,Secreted protein,Host cells,Intracellular survival factor
Mycobacterium marinum,LAM,Glycolipid,Vps34,Lipoarabinomannan
Mycobacterium marinum,ESAT-6,T7SS (ESX-1),Membrane,Pore-forming; phagosomal permeabilization
Mycobacterium marinum,MMPL7,Transport protein,Drug resistance,Efflux pump
Streptomyces scabies,TxtA,Synthetase,Plant cells,Thaxtomin A biosynthesis; cellulose inhibition
Streptomyces scabies,TxtB,Synthetase,Plant cells,Thaxtomin A biosynthesis
Streptomyces scabies,TxtC,Synthetase,Plant cells,Thaxtomin A biosynthesis
Streptomyces scabies,Nec1,Virulence factor,Plant tissues,Necrosis-inducing protein
Porphyromonas gingivalis,RgpA,Cysteine protease,Host proteins,Arginine-gingipain A
Porphyromonas gingivalis,RgpB,Cysteine protease,Host proteins,Arginine-gingipain B
Porphyromonas gingivalis,Kgp,Cysteine protease,Host proteins,Lysine-gingipain
Porphyromonas gingivalis,FimA,Fimbriae,CD14/TLR2,Major fimbrial subunit; adhesion
Porphyromonas gingivalis,HagA,Hemagglutinin,Host cells,Hemagglutinin A
Klebsiella pneumoniae,CPS,Polysaccharide,Immune evasion,Capsular polysaccharide; antiphagocytic
Klebsiella pneumoniae,LPS,Lipopolysaccharide,TLR4,Endotoxin; inflammatory
Klebsiella pneumoniae,FimH,Fimbrial adhesin,Mannose receptors,Type 1 fimbriae; adhesion
Klebsiella pneumoniae,MrkD,Fimbrial adhesin,Extracellular matrix,Type 3 fimbriae; biofilm
Klebsiella pneumoniae,KPC,Beta-lactamase,Antibiotics,Carbapenem resistance
Acinetobacter baumannii,OmpA,Outer membrane,Mitochondria,Porin; targeting host cell death
Acinetobacter baumannii,AbOmpA,Outer membrane,Host membranes,Biofilm-associated protein
Acinetobacter baumannii,CsuA/B,Pilus,Abiotic surfaces,Biofilm formation
Acinetobacter baumannii,Bap,Surface protein,Host cells,Biofilm-associated protein
Acinetobacter baumannii,Plc,Phospholipase,Host membranes,Phospholipase C activity
Burkholderia pseudomallei,BopA,T3SS (T3SS-3),Host membranes,Translocon; phagosomal escape
Burkholderia pseudomallei,BopE,T3SS (T3SS-3),Cdc42 / Rac1,GEF for Rho GTPases
Burkholderia pseudomallei,BprP,Protease,Host proteins,Serine protease
Burkholderia pseudomallei,BimA,Surface protein,Actin,Actin-based motility
Burkholderia pseudomallei,MprA,Protease,Host proteins,Metalloprotease
Burkholderia cenocepacia,Bat3,T6SS,Host cells,T6SS component
Burkholderia cenocepacia,AidA,T4SS effector,Host membranes,Intracellular survival
Burkholderia cenocepacia,CblA,Cable pilus,Host cells,Adhesion factor
Burkholderia cenocepacia,BcaA,Adhesin,Host cells,Burkholderia adhesin
Bacteroides fragilis,BFT,Metalloprotease,E-cadherin,B. fragilis toxin; epithelial signaling
Bacteroides fragilis,PsaA,Surface protein,Host cells,Protection surface antigen
Bacteroides fragilis,FimA,Fimbriae,Host cells,Type A fimbriae
Bacteroides fragilis,SusC,Nutrient transporter,Host glycans,Starch utilization
Treponema pallidum,TprK,Surface protein,Immune evasion,Antigenic variation; VMP-like
Treponema pallidum,Tp0751,Pallilysin,Laminin / fibrinogen,Metalloprotease; tissue penetration
Treponema pallidum,Tp0483,Membrane protein,Host cells,Cytoplasmic membrane protein
Treponema pallidum,FlaA,Flagellin,Host tissue,Periplasmic flagellar sheath
Borrelia burgdorferi,OspA,Surface lipoprotein,TLR2,Outer surface protein A
Borrelia burgdorferi,OspC,Surface lipoprotein,Host immune,Outer surface protein C
Borrelia burgdorferi,VlsE,Surface protein,Immune evasion,Antigenic variation locus
Borrelia burgdorferi,DbpA,Adhesin,Decorin,PAS domain; decorin-binding
Leptospira interrogans,LipL32,Surface lipoprotein,Host cells,Major outer membrane protein
Leptospira interrogans,LipL41,Surface lipoprotein,Host cells,Minor outer membrane protein
Leptospira interrogans,Loa22,Surface protein,Collagen,Adhesion to host ECM
Leptospira interrogans,LenA,Surface protein,Complement,Factor H binding
