name,species,gram_stain,strategy,description,reference
Chlamydia trachomatis,Chlamydia trachomatis,Gram-negative,reroute,"Resides in non-acidified inclusion that intercepts exocytic vesicles from Golgi; avoids endolysosomal fusion. Inc proteins (IncA, IncB, IncC) decorate the inclusion membrane and recruit Rab4, Rab6, and Rab11 to intercept Golgi-derived vesicles. CT229 acts as a ubiquitin ligase to modify host Rab proteins, blocking fusion with lysosomes",10.1038/s41579-019-0237-6
Chlamydia pneumoniae,Chlamydia pneumoniae,Gram-negative,reroute,"Similar inclusion-based intracellular niche; acquires sphingolipids from Golgi via T3SS inc proteins. IncA blocks SNARE-mediated fusion with lysosomes, while CPn0585 acts as a GEF for host Rab GTPases to redirect vesicular trafficking away from the endolysosomal pathway",10.1128/IAI.00731-19
Anaplasma phagocytophilum,Anaplasma phagocytophilum,Gram-negative,reroute,"Resides in non-fusogenic membrane-bound inclusion that acquires host-derived membrane via T4SS. Ats-1 binds Rab5 and PI3P to anchor the inclusion to early endosomal compartments, while AnkA modulates host signaling through interaction with MYADM and Abl-1 tyrosine kinase. p44/Msp2 undergoes antigenic variation to evade immune detection",10.1111/j.1365-2958.2012.08037.x
Ehrlichia chaffeensis,Ehrlichia chaffeensis,Gram-negative,reroute,"Resides in early endosome-like inclusions that avoid lysosomal fusion; uses T4SS for effector translocation. TRP120 mimics Notch ligand to activate Notch signaling and promote host cell survival, while TRP32 activates the Wnt pathway. Ank200 is an ankyrin-repeat effector that modulates host gene expression from within the inclusion",10.3389/fcimb.2018.00097
Bartonella henselae,Bartonella henselae,Gram-negative,reroute,"Injectisome (VirB/VirD4 T4SS) translocates Bep effectors; subverts host cell functions including actin dynamics. BepA promotes F-actin fiber formation and has anti-apoptotic activity, while BepC activates PI3K/Akt signaling to promote endothelial cell proliferation. BepD and BepE modulate actin recruitment and protect against host cell death",10.1038/s41579-020-0379-4
Rickettsia rickettsii,Rickettsia rickettsii,Gram-negative,escape,"Rapid phagosomal escape via hemolysin and phospholipase; replicates in cytosol; actin-based motility. RickA activates Arp2/3 to nucleate actin tails, while Sca2 acts as a formin-like actin nucleator for enhanced motility. TlyA and Pat1 are hemolysin and patatin-like phospholipase that mediate rapid phagosomal membrane disruption within minutes of entry",10.1128/CMR.00032-19
Rickettsia conorii,Rickettsia conorii,Gram-negative,escape,Phagosomal escape within 15 min; intracytosolic replication; actin tail formation via RickA and Sca2-mediated actin nucleation. Uses Pat1 phospholipase to disrupt phagosomal membranes. Causes Mediterranean spotted fever; transmitted by Rhipicephalus ticks with endothelial cells as primary target,10.3389/fcimb.2017.00322
Salmonella typhi,Salmonella typhi,Gram-negative,modified_compartment,"Similar SCV-based strategy as S. enterica; SPI-2 effectors maintain vacuolar niche. Uses SopE to activate Cdc42 for entry, while SifA binds SKIP to maintain SCV integrity. SseF and SseG are SPI-2 effectors that position the SCV near the Golgi apparatus by recruiting microtubule motors, ensuring access to nutrient-rich vesicles",10.1128/CMR.00112-20
Pseudomonas aeruginosa,Pseudomonas aeruginosa,Gram-negative,extracellular,"Extracellular opportunistic pathogen; injects ExoU/ExoS/ExoT via T3SS; cytotoxic to host cells. ExoU is a potent phospholipase A2 that causes rapid plasma membrane lysis, while ExoS and ExoT act as both RhoGAPs and ADP-ribosyltransferases. ExoY is an adenylate cyclase that disrupts actin dynamics by raising cAMP/cGMP levels in infected cells",10.1038/s41579-020-0353-1
Escherichia coli K1,Escherichia coli K1,Gram-negative,arrest,"Survives within late endosomes/lysosomes by modulating Rab GTPase activity; K1 capsule prevents clearance. IbeA binds vimentin to mediate invasion of brain microvascular endothelial cells, enabling traversal of the blood-brain barrier. CNF1 deamidates RhoA, Rac1, and Cdc42, constitutively activating them to disrupt phagosome maturation",10.3389/fcimb.2020.00001
Neisseria gonorrhoeae,Neisseria gonorrhoeae,Gram-negative,extracellular,"Extracellular mucosal pathogen; type IV pili and Opa proteins mediate adhesion; resists intracellular killing. PorB is a voltage-gated porin that targets mitochondria and inhibits host cell apoptosis. Opa proteins bind CEACAM receptors to trigger bacterial uptake into non-phagocytic cells, where Neisseria can survive intracellularly",10.1038/s41579-018-0131-5
Neisseria meningitidis,Neisseria meningitidis,Gram-negative,extracellular,"Encapsulated extracellular pathogen; survives in bloodstream and cerebrospinal fluid; type IV pili for adhesion. PorB and PorA are major outer membrane porins with anti-apoptotic activity. Opca binds CEACAM and fibronectin, while NadA mediates adhesion to epithelial cells. Capsular polysaccharide (serogroups A, B, C, W, Y) is essential for serum resistance",10.1038/s41579-019-0240-y
Haemophilus influenzae,Haemophilus influenzae,Gram-negative,extracellular,Extracellular respiratory pathogen; IgA protease and biofilm formation; survives intracellularly in some cell types. Hap autotransporter mediates adherence and microcolony formation via its serine protease activity. HMW1/HMW2 and Hia are high-molecular-weight adhesins that bind epithelial cells. P5 fimbriae bind ICAM-1 on activated respiratory epithelium,10.1128/IAI.00475-19
Bordetella pertussis,Bordetella pertussis,Gram-negative,extracellular,"Extracellular respiratory pathogen; adenylate cyclase toxin and T3SS effectors modulate host immunity. Pertussis toxin (PTx) ADP-ribosylates Gi proteins to disrupt cAMP signaling, while CyaA is a bifunctional RTX toxin that enters phagocytes and generates supraphysiological cAMP levels. FHA mediates adhesion to CR3 integrins on macrophages",10.1038/s41579-019-0223-z
Vibrio cholerae,Vibrio cholerae,Gram-negative,extracellular,"Non-invasive extracellular pathogen; cholera toxin (CTX) is an AB toxin that ADP-ribosylates Gs-alpha, causing constitutive adenylate cyclase activation and massive fluid secretion into the intestinal lumen. The toxin-coregulated pilus (TCP) is essential for intestinal colonization. T6SS (VSP locus) mediates interbacterial competition in the gut microbiome",10.1038/s41579-018-0129-1
Campylobacter jejuni,Campylobacter jejuni,Gram-negative,modified_compartment,"Survives within Campylobacter-containing vacuole (CCV); uses T6SS and flagellar secretion. Cytolethal distending toxin (Cdt) is a DNase that causes host cell cycle arrest at G2/M phase. FlaA flagellin is glycosylated and activates TLR5, contributing to intestinal inflammation. CiaB and VirK are secreted factors that promote intracellular survival within the CCV",10.3389/fcimb.2019.00360
Helicobacter pylori,Helicobacter pylori,Gram-negative,extracellular,"Gastric extracellular pathogen that colonizes the stomach mucosa; Cag T4SS injects CagA effector into host cells where it is phosphorylated and activates SHP-2 phosphatase, disrupting cell polarity and adhesion. VacA forms pores in host membranes and targets mitochondria to induce apoptosis. UreA neutralizes gastric acid by producing ammonia from urea",10.1038/s41579-019-0253-6
Orientia tsutsugamushi,Orientia tsutsugamushi,Gram-negative,escape,Escapes phagosome via phospholipase D activity; replicates in cytosol; subverts autophagy. Pld is a phospholipase D homolog that disrupts phagosomal membranes shortly after entry. ScaA and ScaC are autotransporter proteins mediating adhesion to host cells. Tsa56 is the major outer membrane protein involved in immune evasion. Causes scrub typhus transmitted by chiggers,10.3389/fcimb.2018.00012
Staphylococcus aureus,Staphylococcus aureus,Gram-positive,escape,"Pore-forming toxins (Hla, PVL) enable phagosomal escape; some strains survive intracellularly. Hla (alpha-hemolysin) binds ADAM10 to form heptameric pores in host membranes, while PVL targets C5aR on neutrophils. Protein A (SpA) binds IgG Fc region and cross-links VH3-type B cell receptors, acting as a B-cell superantigen. Efb binds fibrinogen to form immune-evasive clots",10.1038/s41579-018-0103-y
Streptococcus pyogenes,Streptococcus pyogenes,Gram-positive,escape,"Streptolysin O (SLO) enables phagosomal escape; replicates in cytosol; M protein for adhesion. SLO is a cholesterol-dependent cytolysin that forms large pores in phagosomal membranes. M protein binds Factor H and C4BP to evade complement opsonization. SpeA is a superantigen that bridges MHC class II and TCR V-beta regions, triggering massive cytokine release",10.3389/fcimb.2019.00071
Streptococcus pneumoniae,Streptococcus pneumoniae,Gram-positive,extracellular,"Extracellular pathogen; pneumolysin (PLY) and polysaccharide capsule; can survive intracellularly. PLY is a cholesterol-dependent cytolysin that forms pores and activates the NLRP3 inflammasome. PspA binds lactoferrin to reduce iron availability for host defenses, while PspC binds Factor H for complement evasion. LytA autolysin releases pneumolysin during antibiotic-induced lysis",10.1038/s41579-018-0125-5
Bacillus anthracis,Bacillus anthracis,Gram-positive,escape,Anthrolysin O (ALO) enables phagosomal escape; lethal factor (LF) and edema factor (EF) modulate host. ALO is a cholesterol-dependent cytolysin that permeabilizes the phagosome. The tripartite toxin (PA + LF + EF) is the major virulence determinant: PA binds ANTXR1/2 to translocate LF (zinc metalloprotease cleaving MAPKKs) and EF (calmodulin-dependent adenylate cyclase) into the cytosol,10.1038/s41579-019-0263-4
Bacillus cereus,Bacillus cereus,Gram-positive,escape,"Opportunistic pathogen capable of intracellular survival via pore-forming toxins including hemolysin BL (Hbl), non-hemolytic enterotoxin (Nhe), and cytotoxin K (CytK). These three-component pore-forming toxins cause membrane disruption and cell lysis. PC-PLC (phosphatidylcholine-hydrolyzing phospholipase C) contributes to membrane degradation and tissue necrosis",10.3389/fcimb.2019.00087
Clostridium perfringens,Clostridium perfringens,Gram-positive,extracellular,"Extracellular pathogen causing gas gangrene and food poisoning; perfringolysin O (PFO) is a cholesterol-dependent cytolysin that forms large transmembrane pores. Alpha-toxin (PLC) is a zinc-dependent phospholipase C that hydrolyzes phosphatidylcholine and sphingomyelin, causing hemolysis and necrosis. CPE (C. perfringens enterotoxin) binds claudins to disrupt tight junctions",10.1038/s41579-019-0257-2
Clostridium difficile,Clostridium difficile,Gram-positive,extracellular,"Extracellular toxigenic pathogen causing antibiotic-associated diarrhea and pseudomembranous colitis. TcdA and TcdB are large clostridial glucosyltransferases that inactivate Rho GTPases (RhoA, Rac1, Cdc42) by monoglucosylation, leading to actin cytoskeleton disruption and tight junction breakdown. Cdt (binary toxin) ADP-ribosylates actin, causing microtubule-based protrusions",10.1038/s41579-019-0266-1
Enterococcus faecalis,Enterococcus faecalis,Gram-positive,extracellular,Opportunistic extracellular pathogen causing nosocomial and device-associated infections; survives within macrophages. Cytolysin (Cyl) is a hemolytic/bactericidal toxin that lyses host cells. Gelatinase (GelE) degrades host ECM proteins for tissue invasion. Ace adhesin binds collagen for adherence to host tissues. Esp surface protein promotes biofilm formation,10.3389/fcimb.2019.00126
Corynebacterium diphtheriae,Corynebacterium diphtheriae,Gram-positive,extracellular,"Extracellular respiratory pathogen; diphtheria toxin (DT) is an AB toxin that ADP-ribosylates elongation factor 2 (EF-2), inhibiting host protein synthesis and causing cell death. DT is encoded by a lysogenic beta-prophage — only toxigenic strains cause disease. FbpABC iron transporter scavenges host iron for bacterial growth. SpaABC pili mediate adhesion to respiratory epithelium",10.1128/CMR.00075-19
Nocardia asteroides,Nocardia asteroides,Gram-positive,arrest,"Arrests phagosome maturation at early stage; blocks acidification; survives in macrophages. Mce (mammalian cell entry) proteins mediate invasion and intracellular survival. Phospholipase A (PLA) contributes to phagosomal membrane disruption, while superoxide dismutase (Sod) and catalase (Cat) neutralize host oxidative burst. Causes nocardiosis in immunocompromised patients",10.1086/515160
Rhodococcus equi,Rhodococcus equi,Gram-positive,modified_compartment,"Resides in non-acidified Rhodococcus-containing vacuole (RCV); prevents lysosomal fusion via Vap proteins (VapA, VapB, VapC, VapD). VapA is the major virulence factor, a surface-expressed protein that modulates host vesicular trafficking and prevents lysosomal hydrolase delivery. Causes pneumonia in foals and opportunistic infections in immunocompromised humans",10.1111/j.1365-2958.2012.08093.x
Tropheryma whipplei,Tropheryma whipplei,Gram-positive,arrest,Arrests phagosome maturation; survives in macrophages; causes Whipple disease — a rare systemic infection affecting the gastrointestinal tract and joints. TW surface proteins mediate adhesion and intracellular survival. The bacterium has a reduced genome and relies on host-derived amino acids and metabolites. Survives within macrophages by blocking acidification and lysosomal fusion,10.3389/fcimb.2019.00149
Mycobacterium leprae,Mycobacterium leprae,Acid-fast,arrest,Similar to M. tuberculosis; arrests phagosome maturation at the early stage; uniquely inhabits Schwann cells and macrophages. LAM (lipoarabinomannan) inhibits Vps34 and Ca2+ signaling to block phagosome maturation. ML0098 modulates TLR signaling to prevent pro-inflammatory responses. Causes leprosy with tropism for peripheral nerves leading to demyelination,10.1038/s41579-020-0382-9
Mycobacterium bovis,Mycobacterium bovis,Acid-fast,arrest,Intracellular pathogen causing tuberculosis in cattle; BCG (Bacille Calmette-Guerin) is an attenuated strain used as a vaccine against human TB. Arrests phagosome maturation by inhibiting V-ATPase recruitment and Rab7 acquisition. ESAT-6 and CFP-10 are T7SS (ESX-1) secreted effectors that mediate phagosomal permeabilization and intercellular spread,10.1128/IAI.00687-19
Mycobacterium avium,Mycobacterium avium,Acid-fast,arrest,Opportunistic environmental mycobacterium causing disseminated disease in immunocompromised patients (especially advanced HIV/AIDS). Survives and replicates within macrophages by blocking phagosome acidification and lysosomal fusion via LAM-mediated inhibition of Vps34 and PI3P production. MAV_2941 is a secreted factor that promotes intracellular survival,10.3389/fcimb.2019.00108
Mycobacterium marinum,Mycobacterium marinum,Acid-fast,arrest,Model organism for studying mycobacterial pathogenesis in zebrafish infection model. Arrests phagosome maturation and prevents acidification similar to M. tuberculosis. ESAT-6 (ESX-1 T7SS effector) forms pores in phagosomal membranes to promote permeabilization. MMPL7 is an efflux pump involved in drug resistance. Causes fish tuberculosis and granulomatous skin infections in humans,10.1111/j.1365-2958.2012.08055.x
Streptomyces scabies,Streptomyces scabies,Gram-positive,extracellular,"Plant pathogen causing common scab disease in potato and other root crops. Produces thaxtomin A, a phytotoxin that inhibits cellulose biosynthesis in plant cell walls, leading to cell swelling and tissue necrosis. TxtA, TxtB, and TxtC are key synthetases in the thaxtomin biosynthesis pathway. Nec1 is a necrosis-inducing virulence factor that promotes plant tissue maceration",10.1111/j.1365-2958.2012.08066.x
Porphyromonas gingivalis,Porphyromonas gingivalis,Gram-negative,modified_compartment,"Oral keystone pathogen causing periodontitis; hijacks host endocytic pathway and survives within gingival epithelial cells. Gingipains (RgpA, RgpB, Kgp) are cysteine proteases that degrade host ECM proteins, activate PAR signaling, and subvert complement. FimA fimbriae bind CD14/TLR2 to trigger inflammatory signaling and promote intracellular invasion",10.3389/fcimb.2019.00098
Klebsiella pneumoniae,Klebsiella pneumoniae,Gram-negative,extracellular,Encapsulated nosocomial pathogen causing pneumonia and urinary tract infections; emerging hypervirulent strains with enhanced mucoviscosity. CPS (capsular polysaccharide) is the major antiphagocytic factor — over 80 serotypes known. LPS activates TLR4 triggering inflammatory responses. FimH (type 1) and MrkD (type 3) fimbriae mediate adhesion to host tissues and biofilm formation,10.1038/s41579-019-0265-2
Acinetobacter baumannii,Acinetobacter baumannii,Gram-negative,extracellular,Multidrug-resistant nosocomial pathogen; survives on hospital surfaces and exhibits remarkable antibiotic resistance. OmpA is a major virulence factor that targets mitochondria to induce host cell death. Plc (phospholipase C) degrades host membrane phospholipids. CsuA/B pilus and Bap surface protein mediate biofilm formation on abiotic surfaces including medical devices,10.1038/s41579-019-0259-0
Burkholderia pseudomallei,Burkholderia pseudomallei,Gram-negative,escape,"Escapes phagosome via T3SS (T3SS-3); replicates in cytosol; induces actin polymerization for cell-to-cell spread. BopA is a T3SS translocon protein that mediates phagosomal escape, while BopE acts as a GEF for Cdc42 and Rac1 to induce membrane ruffling. BimA recruits actin to the bacterial surface for polymerization-based motility. Causes melioidosis in tropical regions",10.3389/fcimb.2019.00118
Burkholderia cenocepacia,Burkholderia cenocepacia,Gram-negative,modified_compartment,Survives in membrane-bound vacuole in macrophages; T6SS and T3SS effectors modulate host cell functions. Bat3 is a T6SS component that mediates effector translocation into host cells. AidA is a T4SS effector that promotes intracellular survival within the vacuole. CblA (cable pilus) and BcaA adhesin mediate binding to host epithelial cells and biofilm formation,10.1111/j.1365-2958.2012.08048.x
Bacteroides fragilis,Bacteroides fragilis,Gram-negative,extracellular,"Anaerobic commensal and opportunistic pathogen; enterotoxigenic strains produce BFT (B. fragilis toxin) — a zinc-dependent metalloprotease that cleaves E-cadherin, disrupting epithelial tight junctions and activating beta-catenin signaling. PsaA is a protective surface antigen. FimA fimbriae mediate adherence to host cells. SusC is part of the starch utilization system for nutrient acquisition",10.3389/fcimb.2019.00163
Treponema pallidum,Treponema pallidum,Gram-negative,extracellular,"Highly invasive spirochete causing syphilis; capable of penetrating intact mucous membranes and disseminating throughout the body. TprK undergoes antigenic variation to evade host immune responses. Tp0751 (pallilysin) is a metalloprotease that degrades laminin and fibrinogen for tissue penetration. Has a minimal genome (~1.14 Mbp) with limited metabolic capacity, relying on host nutrients",10.1038/s41579-019-0285-y
Borrelia burgdorferi,Borrelia burgdorferi,Gram-negative,extracellular,"Lyme disease spirochete transmitted by Ixodes ticks; disseminates through tissue and evades immune clearance. OspA and OspC are differentially expressed surface lipoproteins — OspA promotes tick midgut colonization while OspC is required for mammalian infection. VlsE undergoes segmental gene conversion to generate antigenic variation, enabling persistent infection. DbpA binds decorin for tissue adhesion",10.1038/s41579-019-0306-x
Leptospira interrogans,Leptospira interrogans,Gram-negative,extracellular,Leptospirosis spirochete; invades through mucous membranes or skin abrasions; colonizes the renal tubules of reservoir hosts and is shed in urine. LipL32 is the major outer membrane lipoprotein involved in adhesion to host ECM. LenA binds complement Factor H to evade immune killing. Loa22 contains a collagen-binding domain for host tissue adherence. Causes Weil's disease in severe cases,10.3389/fcimb.2019.00107
