pathogen_name,effector_name,host_protein_name,interaction_type
Clostridium difficile,Cdt,Actin,ADP-ribosylates
Pseudomonas aeruginosa,ExoU,Host membranes,phospholipase
Pseudomonas aeruginosa,ExoS,RhoA,GAP
Pseudomonas aeruginosa,ExoS,Ras,ADP-ribosylates
Pseudomonas aeruginosa,ExoT,Cdc42,GAP
Pseudomonas aeruginosa,ExoT,Rac1,GAP
Pseudomonas aeruginosa,ToxA,EF-2,ADP-ribosylates
Bordetella pertussis,PTx,Host signaling,ADP-ribosylates
Bordetella pertussis,CyaA,CaM,activates
Vibrio cholerae,CTX,Host signaling,ADP-ribosylates
Helicobacter pylori,CagA,SHP-2,activates
Helicobacter pylori,VacA,Mitochondria,targets
Helicobacter pylori,HtrA,E-cadherin,cleaves
Rickettsia rickettsii,RickA,Arp2/3,activates
Rickettsia rickettsii,Sca2,Actin,nucleates
Rickettsia rickettsii,TlyA,Host membranes,pore-forming
Burkholderia pseudomallei,BopA,Host membranes,disrupts
Burkholderia pseudomallei,BopE,Cdc42,GEF
Burkholderia pseudomallei,BopE,Rac1,GEF
Burkholderia pseudomallei,BimA,Actin,nucleates
Anaplasma phagocytophilum,Ats-1,Rab5,binds
Anaplasma phagocytophilum,Ats-1,PI3P,binds
Bartonella henselae,BepA,Actin,remodels
Mycobacterium leprae,LAM,Vps34,inhibits
Porphyromonas gingivalis,FimA,TLR2,binds
Chlamydia pneumoniae,IncA,LAMP1,blocks fusion
Chlamydia pneumoniae,CPn0585,Rab4,GEF
Chlamydia pneumoniae,CPn0809,Golgi,modulates
Ehrlichia chaffeensis,TRP120,Notch,activates
Ehrlichia chaffeensis,TRP32,Wnt,activates
Ehrlichia chaffeensis,Ank200,Host DNA,modulates
Rickettsia conorii,RickA,Arp2/3,activates
Rickettsia conorii,Sca2,Actin,nucleates
Rickettsia conorii,Pat1,Host membranes,phospholipase
Salmonella typhi,SopE,Cdc42,GEF
Salmonella typhi,SifA,SKIP,binds
Salmonella typhi,SseF,Microtubules,recruits
Escherichia coli K1,IbeA,Vimentin,binds
Escherichia coli K1,OmpA,GPI anchor,binds
Escherichia coli K1,CNF1,RhoA,deamidase
Neisseria gonorrhoeae,PorB,Mitochondria,anti-apoptotic
Neisseria gonorrhoeae,Opa,CEACAM,binds
Neisseria meningitidis,PorB,Mitochondria,anti-apoptotic
Neisseria meningitidis,Opca,CEACAM,binds
Haemophilus influenzae,Hap,Extracellular matrix,protease
Haemophilus influenzae,P5,ICAM-1,binds
Campylobacter jejuni,Cdt,Host DNA,DNase
Campylobacter jejuni,FlaA,TLR5,activates
Orientia tsutsugamushi,HlyA,Host membranes,pore-forming
Orientia tsutsugamushi,Pld,Host membranes,phospholipase
Bacillus cereus,Hbl,Host membranes,pore-forming
Bacillus cereus,PC-PLC,Host membranes,phospholipase
Enterococcus faecalis,Cyl,Host membranes,pore-forming
Enterococcus faecalis,Ace,Collagen,binds
Corynebacterium diphtheriae,DT,EF-2,ADP-ribosylates
Nocardia asteroides,PLA,Host membranes,phospholipase
Nocardia asteroides,Sod,ROS,scavenges
Rhodococcus equi,VapA,Host membranes,modulates
Tropheryma whipplei,TW1,Host cells,binds
Mycobacterium bovis,LAM,Vps34,inhibits
Mycobacterium bovis,ESAT-6,Host membranes,pore-forming
Mycobacterium avium,LAM,Vps34,inhibits
Mycobacterium marinum,LAM,Vps34,inhibits
Mycobacterium marinum,ESAT-6,Host membranes,pore-forming
Streptomyces scabies,Nec1,Host cells,necrosis
Klebsiella pneumoniae,CPS,Host immune,antiphagocytic
Klebsiella pneumoniae,LPS,TLR4,activates
Acinetobacter baumannii,OmpA,Mitochondria,targets
Acinetobacter baumannii,Plc,Host membranes,phospholipase
Burkholderia cenocepacia,AidA,Host membranes,modulates
Bacteroides fragilis,BFT,E-cadherin,cleaves
Treponema pallidum,Tp0751,Extracellular matrix,protease
Borrelia burgdorferi,OspA,TLR2,activates
Borrelia burgdorferi,DbpA,Extracellular matrix,binds
Leptospira interrogans,LenA,Factor H,binds
Leptospira interrogans,Loa22,Collagen,binds
